Date	Price	Open	High	Low	Volume	Change %
13-May-10	231.78	233.2	234.9	230.62	17.76M	-0.28%
14-May-10	222.43	231.5	233.39	221.16	33.01M	-4.03%
17-May-10	225.07	221	227.2	214.13	25.70M	1.19%
18-May-10	228	224.79	229.8	223.13	18.90M	1.30%
19-May-10	221.41	226	227.3	219	20.42M	-2.89%
20-May-10	226.75	222.2	228.2	222.11	17.04M	2.41%
21-May-10	227.12	222.2	228	221.03	15.71M	0.16%
24-May-10	223.12	228.2	231.1	222.29	15.20M	-1.76%
25-May-10	215.51	222	222	213.8	17.36M	-3.41%
26-May-10	217.36	217.18	218.6	215.16	16.50M	0.86%
27-May-10	221.94	217	224.8	215.73	21.78M	2.11%
28-May-10	223.94	224.4	225.88	220.31	13.57M	0.90%
31-May-10	226.88	223	227.45	223	11.99M	1.31%
1-Jun-10	220.97	225.11	227.6	220.21	14.42M	-2.60%
2-Jun-10	225.82	221.22	226.7	221	12.34M	2.19%
3-Jun-10	228.73	226.5	230.59	226.5	12.59M	1.29%
4-Jun-10	234.07	229	234.8	227.9	19.48M	2.33%
7-Jun-10	228.68	225.12	232	223.28	14.93M	-2.30%
8-Jun-10	228.38	228.8	233.15	226.86	14.02M	-0.13%
9-Jun-10	227.25	228.5	230.9	225.8	18.14M	-0.49%
10-Jun-10	232.69	226.6	233.8	226.6	24.50M	2.39%
11-Jun-10	233.99	263.01	263.01	232.61	15.06M	0.56%
14-Jun-10	234.5	234.5	236	232.6	10.19M	0.22%
15-Jun-10	236.42	234.99	237.44	232	15.31M	0.82%
16-Jun-10	236.17	241.7	241.7	234.54	14.14M	-0.11%
17-Jun-10	235.09	235.9	236.2	232.35	10.33M	-0.46%
18-Jun-10	237.26	234.99	238	234	15.60M	0.92%
21-Jun-10	238.78	237.5	240.28	237.5	8.88M	0.64%
22-Jun-10	235.46	237.5	239.4	235.01	8.51M	-1.39%
23-Jun-10	234.96	235	235.8	232.85	10.85M	-0.21%
24-Jun-10	235.75	235	236.6	233.8	12.12M	0.34%
25-Jun-10	230.08	235.01	235.5	228.5	13.02M	-2.41%
28-Jun-10	230.37	228.8	231.45	227.5	10.72M	0.13%
29-Jun-10	229.12	230.5	232.89	228.12	14.21M	-0.54%
30-Jun-10	230.2	227.98	231.2	227.5	10.61M	0.47%
1-Jul-10	226.22	229.11	229.9	225.4	14.22M	-1.73%
2-Jul-10	226.5	226.5	227.99	225.74	8.91M	0.12%
5-Jul-10	227.25	226.51	229.4	225.35	6.19M	0.33%
6-Jul-10	231.28	227.3	231.9	226.84	10.14M	1.77%
7-Jul-10	230.41	230.9	231.9	229.1	8.91M	-0.38%
8-Jul-10	235.68	231.5	236.69	231.5	17.56M	2.29%
9-Jul-10	236.89	236.5	237.85	236.01	9.80M	0.51%
12-Jul-10	240.07	237.5	241.2	237	14.95M	1.34%
13-Jul-10	242.91	240.1	243.71	239.01	17.62M	1.18%
14-Jul-10	246.45	243.7	247.9	243.7	18.16M	1.46%
15-Jul-10	243.99	247.05	247.3	243.4	8.16M	-1.00%
16-Jul-10	244.9	244.5	246.47	242.81	9.53M	0.37%
19-Jul-10	245.53	243.9	246.3	242.6	7.63M	0.26%
20-Jul-10	244.9	245.53	246.49	244.03	5.08M	-0.26%
21-Jul-10	243.68	245.56	246.31	243.4	5.06M	-0.50%
22-Jul-10	247.62	242.72	248.74	241.78	11.59M	1.62%
23-Jul-10	249.68	248.1	250.38	247.6	14.84M	0.83%
26-Jul-10	241.01	249.8	250.24	240.21	15.78M	-3.47%
27-Jul-10	243.51	242	244.69	240.06	23.11M	1.04%
28-Jul-10	247.13	243.47	247.8	242.31	16.58M	1.49%
29-Jul-10	247.31	246.2	248.28	243.61	15.80M	0.07%
30-Jul-10	250.29	246	252.2	245.04	26.94M	1.20%
2-Aug-10	258.63	252	260	251.2	20.59M	3.33%
3-Aug-10	260.06	259.89	261.68	257.9	16.00M	0.55%
4-Aug-10	259.51	261	261	257.3	9.78M	-0.21%
5-Aug-10	264.57	260	266.27	259	22.44M	1.95%
6-Aug-10	261.94	263.5	265.49	260.8	12.79M	-0.99%
9-Aug-10	265.08	262.5	265.51	261.6	8.40M	1.20%
10-Aug-10	262.96	265.01	267.5	262.4	13.31M	-0.80%
11-Aug-10	259.96	262.5	264.7	259.06	9.96M	-1.14%
12-Aug-10	278.44	258.99	279.5	257.63	64.00M	7.11%
13-Aug-10	285.02	278.4	287.97	278.4	40.72M	2.36%
16-Aug-10	282.14	284.7	285.46	280.95	15.50M	-1.01%
17-Aug-10	281.85	282.5	285.61	281.15	12.54M	-0.10%
18-Aug-10	281.47	282.75	283.47	276.61	15.23M	-0.13%
19-Aug-10	280.57	281.5	282.48	278.26	10.88M	-0.32%
20-Aug-10	278.69	280	283.37	278.01	9.76M	-0.67%
23-Aug-10	282.32	279	284.25	277.05	13.25M	1.30%
24-Aug-10	284.58	279.65	285.49	279.65	19.91M	0.80%
25-Aug-10	282.36	283.6	285.45	281.5	9.22M	-0.78%
26-Aug-10	286.62	283	288.48	282.5	22.64M	1.51%
27-Aug-10	279.44	286.16	286.55	278.5	12.37M	-2.51%
30-Aug-10	280	280.67	283.05	278.64	9.18M	0.20%
31-Aug-10	276.64	279	279	274.16	13.06M	-1.20%
1-Sep-10	277.65	277.5	278.63	273.73	11.38M	0.37%
2-Sep-10	275.91	279	280.48	275.1	10.76M	-0.63%
3-Sep-10	277.34	276.17	278.9	275.13	6.37M	0.52%
6-Sep-10	285.91	277.5	287.2	277.5	15.33M	3.09%
7-Sep-10	283.7	286.11	286.25	282.82	8.92M	-0.77%
8-Sep-10	289.59	282.5	290.6	280.92	24.26M	2.08%
9-Sep-10	298.4	290	299.47	289.7	32.23M	3.04%
